"","country","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","year","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year_l1","year_sq_l1"
"50","Zimbabwe (Rhodesia)",0.01503,50,0.006739,55,0.01446,50,2023,0,0,0,1,0,0,1,1,1,4,1,0.262,0,1,0,1,-1.632,23.99,4.956,6.021,6.122,0.415,0.01,0,0,0,0,0,0,0,0,0.0339,0,0,1,4093000,5.883,1,552,2022,4088000
"51","Kenya",0.0148,51,0.009627,44,0.01537,48,2023,0,0,0,0,0,0,1,0,1,4,0,0.92,0,0,0,0,1.048,25.72,5.426,5.019,5.336,0.855,0.06,0,0,0,0,0,7.622,0,0,0,0,0,0,4093000,5.931,1,501,2022,4088000
"52","Papua New Guinea",0.01426,52,0.007817,52,0.01439,51,2023,0,0,0,0,0,0,1,0,1,4,0,0.86,0,0,0,0,0.759,23.3,2.681,-2.082,5.841,0.27,0,0,1,0,0,0,0,0,0,0.02041,0,0,1,4093000,5.615,1,910,2022,4088000
"53","Gabon",0.01411,53,0.007904,51,0.01463,49,2023,0,0,0,1,0,0,1,1,1,4,0,0.945,0,0,0,1,0.6,21.22,2.263,6.212,5.447,0.789,0,0,0,0,0,0,0,1,0,0,0,0,0,4093000,5.883,1,481,2022,4088000
"54","Vietnam, Democratic Republic of",0.01401,54,0.006889,54,0.0157,47,2023,0,0,0,1,1,0,0,1,1,1,0,0.328,0,0,1,1,1.158,26.56,5.046,7.522,3.726,0.263,0,0,1,0,0,0,0,0,0,0.02857,0,0,1,4093000,6.129,1,816,2022,4088000
"55","Libya",0.01331,55,0.006473,57,0.01432,52,2023,0,0,1,0,0,1,0,0,1,1,0,0.451,0,0,0,0,-0.027,22.72,-1.673,6.78,2.907,0.259,0,0,0,0,1,0,0,0,0,0.0137,0,0,1,4093000,6.19,1,620,2022,4088000
"56","Colombia",0.01285,56,0.008134,50,0.01402,53,2023,0,0,0,0,0,0,1,0,1,4,0,0.754,0,0,0,1,0.609,25.63,0.6122,5.339,3.225,0.639,0,1,0,0,0,0,6.459,0,0,0.02222,0,0,1,4093000,7.6,1,100,2022,4088000
"57","Madagascar",0.01202,57,0.006371,59,0.01378,54,2023,0,0,0,0,0,0,1,0,1,4,0,0.695,0,0,0,1,-0.543,24.85,3.985,6.162,5.888,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6,1,580,2022,4088000
"58","Bosnia-Herzegovina",0.01172,58,0.00638,58,0.01204,56,2023,0,0,0,1,0,0,1,0,1,4,0,0.72,0,0,0,1,0.818,21.61,1.676,6.659,2.479,0.637,0.01,0,0,0,0,0,0,0,0,0,0,0,1,4093000,5,1,346,2022,4088000
"59","Morocco",0.01164,59,0.006215,60,0.01269,55,2023,0,0,0,1,0,0,1,0,2,1,0,0.635,0,0,0,1,-0.398,25.17,3.178,6.588,3.629,0.566,0.016,0,0,0,1,0,0,0,0,0,0,0,0,4093000,6.087,1,600,2022,4088000
"60","Georgia",0.01094,60,0.005932,61,0.0117,59,2023,0,0,0,0,0,0,1,0,1,3,0,0.794,0,0,0,1,0.338,21.84,7.474,6.732,2.616,0.367,0,0,0,0,0,0,0,0,0,0.0303,0,0,1,4093000,5.044,1,372,2022,4088000
"61","Mauritania",0.01092,61,0.005219,67,0.01185,57,2023,0,0,0,0,0,1,0,1,1,1,0,0.78,1,0,0,1,-0.82,22.21,3.384,6.59,5.4,0.713,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6,1,435,2022,4088000
"62","Equatorial Guinea",0.01071,62,0.005305,65,0.01093,63,2023,0,0,1,1,0,1,0,1,1,3,0,0.299,0,0,0,1,-0.998,20.71,-5.692,6.445,7.304,0.35,0.115,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.807,1,411,2022,4088000
"63","Kyrgyz Republic",0.01069,63,0.005352,63,0.01169,61,2023,0,0,0,1,0,0,1,0,1,3,0,0.679,0,0,0,1,-0.098,22.76,6.151,6.875,3.634,0.487,0.138,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.044,1,703,2022,4088000
"64","Togo",0.01034,64,0.006605,56,0.01167,62,2023,0,0,0,1,0,0,1,0,1,4,0,0.406,0,0,0,0,0.37,23.11,6.408,5.941,6.436,0.88,0,0,0,0,0,0,4.755,0,0,0,0,0,0,4093000,6,1,461,2022,4088000
"65","Senegal",0.01003,65,0.004697,70,0.003416,115,2023,0,0,0,0,0,1,0,0,1,4,0,0.901,0,0,0,0,1.137,24.08,3.7,6.118,5.181,0.747,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6,1,433,2022,4088000
"66","Bahrain",0.009959,66,0.004898,69,0.006318,83,2023,0,0,0,1,0,1,0,1,1,2,0,0.252,1,0,0,1,-1.806,20.5,2.481,7.321,2.383,0.582,0.35,0,0,0,1,0,0,0,0,0,0,0,0,4093000,5.728,1,692,2022,4088000
"67","Nicaragua",0.009925,67,0.005303,66,0.009567,69,2023,0,0,0,1,1,0,0,1,0,1,1,0.025,1,0,0,1,-1.261,22.75,4.57,6.712,3.365,0.544,0,1,0,0,0,0,0,0,0,0.02222,0,0,1,4093000,7.524,1,93,2022,4088000
"68","Ukraine",0.009922,68,0.004651,71,0.01171,58,2023,0,0,0,1,0,1,0,0,1,3,0,0.689,0,0,0,0,-0.505,25.14,5.3,6.287,2.444,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,369,2022,4088000
"69","Peru",0.009794,69,0.005346,64,0.01053,65,2023,0,0,0,0,0,0,1,0,1,4,0,0.921,0,0,0,1,0.366,25.03,-0.5502,5.67,2.939,0.618,0,1,0,0,0,0,0,0,0,0.01111,0,0,1,4093000,7.644,1,135,2022,4088000
"70","Zambia",0.008963,70,0.004978,68,0.00999,66,2023,0,0,0,0,0,0,1,0,1,4,0,0.887,0,0,0,0,1.095,24.29,5.832,6.32,5.767,0.706,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.907,1,551,2022,4088000
"71","Uzbekistan",0.008831,71,0.004498,72,0.009928,67,2023,0,0,0,1,1,0,0,1,1,2,0,0.413,0,0,0,1,-0.317,25.12,5.989,6.169,3.065,0.313,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.044,1,704,2022,4088000
"72","Djibouti",0.008616,72,0.004128,74,0.009327,70,2023,0,0,0,1,0,1,0,0,1,3,0,0.53,0,0,0,1,-0.461,20.12,6.677,8.421,6.537,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.555,1,522,2022,4088000
"73","Azerbaijan",0.008234,73,0.005508,62,0.008921,72,2023,0,0,0,1,0,0,1,1,1,2,0,0.354,0,1,0,1,-1.709,23.27,1.124,6.386,3.741,0.122,0,0,0,0,0,0,8.855,0,0,0.0303,0,0,1,4093000,5.044,1,373,2022,4088000
"74","Korea, People's Republic of",0.008074,74,0.003744,79,0.009085,71,2023,1,0,1,1,1,0,0,1,1,0,1,0.018,0,1,1,1,-0.979,24.64,1.318,-4.008,3.49,0.02,0,0,1,0,0,0,0,0,1,0.01316,0,0,1,4093000,6.248,1,731,2022,4088000
"75","Lebanon",0.007631,75,0.004362,73,0.008539,74,2023,0,0,0,0,0,0,1,0,1,4,0,0.676,0,0,0,1,-0.961,22.35,-0.1501,7.006,3.036,0.133,0.1,0,0,0,1,0,0,0,0,0,0,0,0,4093000,6.322,1,660,2022,4088000
"76","Argentina",0.007193,76,0.004117,75,0.007604,76,2023,0,0,0,0,0,0,1,0,1,4,0,0.936,0,0,0,0,1.637,25.48,-1.551,4.753,2.814,0.158,0,1,0,0,0,0,0,0,0,0.01111,0,0,1,4093000,7.7,1,160,2022,4088000
"77","Namibia",0.007165,77,0.004064,76,0.007754,75,2023,0,0,0,0,0,0,1,0,1,4,0,0.847,0,0,0,1,0.516,21.31,4.16,6.776,5.238,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.087,1,565,2022,4088000
"78","Sri Lanka (Ceylon)",0.006742,78,0.003213,86,0.007563,77,2023,0,0,0,0,0,0,1,0,0,3,0,0.736,0,1,0,1,0.564,24.39,-2.298,5.402,2.302,0.323,0.11,0,0,1,0,0,0,0,0,0.05263,0,0,1,4093000,6.248,1,780,2022,4088000
"79","Mexico",0.006432,79,0.003512,81,0.007012,79,2023,0,0,0,1,0,0,1,0,1,4,0,0.805,0,0,0,1,0.582,26.94,3.229,6.212,3.19,0.587,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.665,1,70,2022,4088000
"80","Botswana",0.006309,80,0.003779,78,0.002423,129,2023,0,0,0,0,0,0,1,0,1,4,0,0.842,0,0,0,0,0.357,21.35,2.731,6.074,6.388,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.858,1,571,2022,4088000
"81","El Salvador",0.006188,81,0.003543,80,0.006005,85,2023,0,0,0,1,0,0,1,0,0,4,0,0.411,0,0,0,1,0.042,22.6,3.511,6.338,2.915,0.165,0,1,0,0,0,0,0,0,0,0.02222,0,0,1,4093000,7.524,1,92,2022,4088000
"82","Brazil",0.006061,82,0.003444,82,0.007277,78,2023,0,0,0,0,0,0,1,0,1,4,0,0.869,0,0,0,0,0.312,27.69,2.908,5.081,3.069,0.559,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.658,1,140,2022,4088000
"83","Venezuela",0.005967,83,0.002774,89,0.006666,80,2023,0,0,0,1,0,1,0,1,1,3,0,0.282,0,0,0,1,0.985,24.78,8.52,-3.047,4.197,0.52,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.607,1,101,2022,4088000
"84","United States of America",0.005964,84,0.003358,84,0.006538,82,2023,0,0,0,0,0,0,1,0,1,4,0,0.927,0,0,0,0,0.75,28.32,2.543,4.757,2.314,0.527,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,2,2022,4088000
