"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2","gdppcgrowth.combined","tradeshare.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage_new_ln","includesnonstate","ccode"
"55","Mauritania",0.01493,55,0.007869,60,0.01578,53,0,0,0,0,0,1,0,1,1,1,0,0.78,1,0,0,1,-0.82,22.21,0.6868,6.59,5.548,0.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,6,1,435
"56","Libya",0.01439,56,0.009113,55,0.01392,58,0,0,1,0,0,1,0,0,1,1,0,0.451,0,0,0,0,-0.027,22.72,-2.758,6.78,4.004,0.259,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4093000,2023,6.19,1,620
"57","Madagascar",0.01432,57,0.008466,58,0.01538,54,0,0,0,0,0,0,1,0,1,4,0,0.695,0,0,0,1,-0.543,24.85,1.537,6.162,6.709,0.194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,6,1,580
"58","Colombia",0.01359,58,0.01001,53,0.01475,55,0,0,0,0,0,0,1,0,1,4,0,0.754,0,0,0,1,0.609,25.63,0.2043,5.339,3.136,0.639,0,1,0,0,0,0,1,6.459,0,0,2,0,0,1,4093000,2023,7.6,1,100
"59","Equatorial Guinea",0.01333,59,0.008637,56,0.01426,57,0,0,1,1,0,1,0,1,1,3,0,0.299,0,0,0,1,-0.998,20.71,-7.879,6.445,7.273,0.35,0.115,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.807,1,411
"60","Bahrain",0.01252,60,0.006575,73,0.008001,84,0,0,0,1,0,1,0,1,1,2,0,0.252,1,0,0,1,-1.806,20.5,1.566,7.321,2.309,0.582,0.35,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,2023,5.728,1,692
"61","Kyrgystan",0.01232,61,0.00742,66,0.01319,60,0,0,0,1,0,0,1,0,1,3,0,0.679,0,0,0,1,-0.098,22.76,4.269,6.875,3.777,0.487,0.138,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,703
"62","Morocco",0.01224,62,0.006937,69,0.01311,61,0,0,0,1,0,0,1,0,2,1,0,0.635,0,0,0,1,-0.398,25.17,0.2155,6.588,3.785,0.566,0.016,0,0,0,1,0,1,0,0,0,0,0,0,0,4093000,2023,6.087,1,600
"63","Senegal",0.01195,63,0.00785,61,0.004404,113,0,0,0,0,0,1,0,0,1,4,0,0.901,0,0,0,0,1.137,24.08,1.092,6.118,4.914,0.747,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,6,1,433
"64","Togo",0.01153,64,0.00854,57,0.01287,62,0,0,0,1,0,0,1,0,1,4,0,0.406,0,0,0,0,0.37,23.11,3.997,5.941,6.431,0.88,0,0,0,0,0,0,1,4.755,0,0,0,0,0,0,4093000,2023,6,1,461
"65","North Korea",0.01152,65,0.007807,62,0.01262,63,1,0,1,1,1,0,0,1,1,0,1,0.018,0,1,1,1,-0.979,24.64,1.318,-4.008,3.813,0.02,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4093000,2023,6.248,1,731
"66","Ukraine",0.01113,66,0.007486,65,0.01385,59,0,0,0,1,0,1,0,0,1,3,0,0.689,0,0,0,0,-0.505,25.14,-17.13,6.287,2.428,0.37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,369
"67","Uzbekistan",0.01083,67,0.008088,59,0.01188,64,0,0,0,1,1,0,0,1,1,2,0,0.413,0,0,0,1,-0.317,25.12,3.764,6.169,3.337,0.313,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,704
"68","Georgia",0.01058,68,0.006324,74,0.01123,69,0,0,0,0,0,0,1,0,1,3,0,0.794,0,0,0,1,0.338,21.84,6.107,6.732,2.853,0.367,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4093000,2023,5.044,1,372
"69","Zambia",0.01046,69,0.007056,67,0.01128,68,0,0,0,0,0,0,1,0,1,4,0,0.887,0,0,0,0,1.095,24.29,2.992,6.32,6.184,0.706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.907,1,551
"70","Nicaragua",0.01045,70,0.007699,64,0.01174,65,0,0,0,1,1,0,0,1,0,1,1,0.025,1,0,0,1,-1.261,22.75,3.117,6.712,3.502,0.544,0,1,0,0,0,0,1,0,0,0,2,0,0,1,4093000,2023,7.524,1,93
"71","Peru",0.01045,71,0.006934,70,0.01094,70,0,0,0,0,0,0,1,0,1,4,0,0.921,0,0,0,1,0.366,25.03,-1.428,5.67,3.419,0.618,0,1,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,7.644,1,135
"72","Bosnia and Herzegovina",0.01005,72,0.006041,77,0.01071,72,0,0,0,1,0,0,1,0,1,4,0,0.72,0,0,0,1,0.818,21.61,2.394,6.659,2.308,0.637,0.01,0,0,0,0,1,1,0,0,0,0,0,0,1,4093000,2023,5,1,346
"73","Lebanon",0.01003,73,0.005756,80,0.01039,73,0,0,0,0,0,0,1,0,1,4,0,0.676,0,0,0,1,-0.961,22.35,2.383,7.006,3.964,0.133,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,2023,6.322,1,660
"74","Djibouti",0.00997,74,0.006314,75,0.01078,71,0,0,0,1,0,1,0,0,1,3,0,0.53,0,0,0,1,-0.461,20.12,5.212,8.421,6.025,0.649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.555,1,522
"75","Venezuela",0.008997,75,0.006891,71,0.009721,74,0,0,0,1,0,1,0,1,1,3,0,0.282,0,0,0,1,0.985,24.78,6.577,-3.047,3.964,0.52,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.607,1,101
"76","Azerbaijan",0.008943,76,0.006948,68,0.009675,76,0,0,0,1,0,0,1,1,1,2,0,0.354,0,1,0,1,-1.709,23.27,1.416,6.386,3.866,0.122,0,0,0,0,0,1,1,8.855,0,0,1,0,0,1,4093000,2023,5.044,1,373
"77","Sri Lanka",0.008774,77,0.005624,83,0.009442,77,0,0,0,0,0,0,1,0,0,3,0,0.736,0,1,0,1,0.564,24.39,-1.66,5.402,2.258,0.323,0.11,0,0,1,0,0,1,0,0,0,4,0,0,1,4093000,2023,6.248,1,780
"78","Brazil",0.008655,78,0.005922,78,0.009698,75,0,0,0,0,0,0,1,0,1,4,0,0.869,0,0,0,0,0.312,27.69,2.381,5.081,3.472,0.559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,7.658,1,140
"79","United States of America",0.008247,79,0.005642,82,0.008905,78,0,0,0,0,0,0,1,0,1,4,0,0.927,0,0,0,0,0.75,28.32,2.04,4.757,2.298,0.527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,7.7,1,2
