"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"56","Libya",0.01445,56,0.009379,55,0.01396,58,0,0,1,0,0,1,0,0,1,1,0,0.451,0,0,0,0,-0.027,22.72,-2.758,6.78,4.004,0.259,0,0,0,0,1,0,1,0,0,0,0.01562,0,0,1,4093000,6.19,1,620,2023
"57","Madagascar",0.01431,57,0.008776,58,0.0154,54,0,0,0,0,0,0,1,0,1,4,0,0.695,0,0,0,1,-0.543,24.85,1.537,6.162,6.709,0.194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,6,1,580,2023
"58","Colombia",0.01359,58,0.01036,51,0.01476,55,0,0,0,0,0,0,1,0,1,4,0,0.754,0,0,0,1,0.609,25.63,0.2043,5.339,3.136,0.639,0,1,0,0,0,0,1,6.459,0,0,0.03125,0,0,1,4093000,7.6,1,100,2023
"59","Equatorial Guinea",0.01324,59,0.008918,56,0.01426,57,0,0,1,1,0,1,0,1,1,3,0,0.299,0,0,0,1,-0.998,20.71,-7.879,6.445,7.273,0.35,0.115,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.807,1,411,2023
"60","Bahrain",0.01228,60,0.006716,73,0.007933,84,0,0,0,1,0,1,0,1,1,2,0,0.252,1,0,0,1,-1.806,20.5,1.566,7.321,2.309,0.582,0.35,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.728,1,692,2023
"61","Morocco",0.01215,61,0.007087,72,0.01307,61,0,0,0,1,0,0,1,0,2,1,0,0.635,0,0,0,1,-0.398,25.17,0.2155,6.588,3.785,0.566,0.016,0,0,0,1,0,1,0,0,0,0,0,0,0,4093000,6.087,1,600,2023
"62","Kyrgystan",0.01211,62,0.007635,65,0.01308,60,0,0,0,1,0,0,1,0,1,3,0,0.679,0,0,0,1,-0.098,22.76,4.269,6.875,3.777,0.487,0.138,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,5.044,1,703,2023
"63","Senegal",0.01185,63,0.008131,60,0.004389,113,0,0,0,0,0,1,0,0,1,4,0,0.901,0,0,0,0,1.137,24.08,1.092,6.118,4.914,0.747,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,6,1,433,2023
"64","North Korea",0.01172,64,0.007973,64,0.01277,63,1,0,1,1,1,0,0,1,1,0,1,0.018,0,1,1,1,-0.979,24.64,1.318,-4.008,3.813,0.02,0,0,1,0,0,0,0,0,0,1,0.01562,0,0,1,4093000,6.248,1,731,2023
"65","Togo",0.01137,65,0.008894,57,0.01278,62,0,0,0,1,0,0,1,0,1,4,0,0.406,0,0,0,0,0.37,23.11,3.997,5.941,6.431,0.88,0,0,0,0,0,0,1,4.755,0,0,0,0,0,0,4093000,6,1,461,2023
"66","Ukraine",0.01103,66,0.007562,66,0.01377,59,0,0,0,1,0,1,0,0,1,3,0,0.689,0,0,0,0,-0.505,25.14,-17.13,6.287,2.428,0.37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4093000,5.044,1,369,2023
"67","Uzbekistan",0.01073,67,0.00826,59,0.01183,64,0,0,0,1,1,0,0,1,1,2,0,0.413,0,0,0,1,-0.317,25.12,3.764,6.169,3.337,0.313,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,5.044,1,704,2023
"68","Georgia",0.01058,68,0.006538,76,0.01123,69,0,0,0,0,0,0,1,0,1,3,0,0.794,0,0,0,1,0.338,21.84,6.107,6.732,2.853,0.367,0,0,0,0,0,1,1,0,0,0,0.0303,0,0,1,4093000,5.044,1,372,2023
"69","Peru",0.01052,69,0.007226,68,0.011,70,0,0,0,0,0,0,1,0,1,4,0,0.921,0,0,0,1,0.366,25.03,-1.428,5.67,3.419,0.618,0,1,0,0,0,0,1,0,0,0,0.01562,0,0,1,4093000,7.644,1,135,2023
"70","Nicaragua",0.01049,70,0.008078,61,0.01178,65,0,0,0,1,1,0,0,1,0,1,1,0.025,1,0,0,1,-1.261,22.75,3.117,6.712,3.502,0.544,0,1,0,0,0,0,1,0,0,0,0.03125,0,0,1,4093000,7.524,1,93,2023
"71","Zambia",0.01038,71,0.007392,67,0.01125,68,0,0,0,0,0,0,1,0,1,4,0,0.887,0,0,0,0,1.095,24.29,2.992,6.32,6.184,0.706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.907,1,551,2023
"72","Bosnia and Herzegovina",0.01009,72,0.006202,78,0.01073,72,0,0,0,1,0,0,1,0,1,4,0,0.72,0,0,0,1,0.818,21.61,2.394,6.659,2.308,0.637,0.01,0,0,0,0,1,1,0,0,0,0,0,0,1,4093000,5,1,346,2023
"73","Lebanon",0.009929,73,0.005994,80,0.01035,73,0,0,0,0,0,0,1,0,1,4,0,0.676,0,0,0,1,-0.961,22.35,2.383,7.006,3.964,0.133,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,6.322,1,660,2023
"74","Djibouti",0.00987,74,0.006609,75,0.01074,71,0,0,0,1,0,1,0,0,1,3,0,0.53,0,0,0,1,-0.461,20.12,5.212,8.421,6.025,0.649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.555,1,522,2023
"75","Venezuela",0.008982,75,0.007188,71,0.009733,74,0,0,0,1,0,1,0,1,1,3,0,0.282,0,0,0,1,0.985,24.78,6.577,-3.047,3.964,0.52,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,7.607,1,101,2023
"76","Azerbaijan",0.00893,76,0.007214,69,0.009668,76,0,0,0,1,0,0,1,1,1,2,0,0.354,0,1,0,1,-1.709,23.27,1.416,6.386,3.866,0.122,0,0,0,0,0,1,1,8.855,0,0,0.0303,0,0,1,4093000,5.044,1,373,2023
"77","Sri Lanka",0.008691,77,0.005795,84,0.009398,77,0,0,0,0,0,0,1,0,0,3,0,0.736,0,1,0,1,0.564,24.39,-1.66,5.402,2.258,0.323,0.11,0,0,1,0,0,1,0,0,0,0.0625,0,0,1,4093000,6.248,1,780,2023
"78","Brazil",0.0086,78,0.00627,77,0.009683,75,0,0,0,0,0,0,1,0,1,4,0,0.869,0,0,0,0,0.312,27.69,2.381,5.081,3.472,0.559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.658,1,140,2023
"79","United States of America",0.008194,79,0.005954,81,0.008892,78,0,0,0,0,0,0,1,0,1,4,0,0.927,0,0,0,0,0.75,28.32,2.04,4.757,2.298,0.527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,2,2023
"80","Namibia",0.008046,80,0.005566,85,0.008696,79,0,0,0,0,0,0,1,0,1,4,0,0.847,0,0,0,1,0.516,21.31,2.674,6.776,5.215,0.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,5.087,1,565,2023
"81","Mexico",0.008009,81,0.005863,82,0.00869,80,0,0,0,1,0,0,1,0,1,4,0,0.805,0,0,0,1,0.582,26.94,2.464,6.212,3.217,0.587,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,7.665,1,70,2023
"82","Bhutan",0.00793,82,0.00604,79,0.008624,81,0,0,0,0,0,0,1,0,1,2,0,0.734,0,0,0,0,1.344,19.59,4.546,6.425,4.398,0.651,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,6.229,1,760,2023
"83","United Arab Emirates",0.007806,83,0.005847,83,0.008501,82,0,0,0,1,1,0,0,1,1,3,0,0.366,0,0,0,1,-0.77,23.18,2.581,-1.689,2.205,0.684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,5.728,1,696,2023
"84","Argentina",0.007783,84,0.006698,74,0.00826,83,0,0,0,0,0,0,1,0,1,4,0,0.936,0,0,0,0,1.637,25.48,-2.436,4.753,2.997,0.158,0,1,0,0,0,0,1,0,0,0,0.01562,0,0,1,4093000,7.7,1,160,2023
"85","Botswana",0.007297,85,0.005446,88,0.003539,126,0,0,0,0,0,0,1,0,1,4,0,0.842,0,0,0,0,0.357,21.35,1.001,6.074,5.328,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.858,1,571,2023
"86","El Salvador",0.006952,86,0.005524,87,0.006431,89,0,0,0,1,0,0,1,0,0,4,0,0.411,0,0,0,1,0.042,22.6,3.047,6.338,3.084,0.165,0,1,0,0,0,0,1,0,0,0,0.03125,0,0,1,4093000,7.524,1,92,2023
"87","Kazakhstan",0.006951,87,0.004902,92,0.00762,85,0,0,0,1,0,1,0,1,2,2,0,0.52,0,1,0,1,0.245,24.25,3.699,6.09,2.85,0.538,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,5.044,1,705,2023
"88","Fiji",0.006914,88,0.004697,93,0.007336,86,0,0,0,0,0,0,1,0,1,3,0,0.779,0,0,0,1,0.538,19.84,7.264,6.918,4.781,0.528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,5.755,1,950,2023
