"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"143","Austria",0.00241,143,0.002242,143,0.002623,140,0,0,0,0,0,0,1,0,2,3,0,0.957,0,1,0,0,0.865,23.12,-1.812,6.859,1.659,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.728,1,305,2023
"144","Switzerland",0.002381,144,0.002231,144,0.002623,141,0,0,0,0,0,0,1,0,1,4,0,0.971,0,1,0,0,1.211,23.08,-0.1271,7.111,1.782,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,225,2023
"145","Qatar",0.002364,145,0.002281,141,0.002666,138,0,0,0,1,1,0,0,1,1,1,0,0.109,0,1,0,1,-2.306,21.37,3.943,6.647,2.044,0.708,0,0,0,0,1,0,0,0,0,0,0,0,0,4093000,5.728,1,694,2023
"146","Sweden",0.002296,146,0.002193,146,0.002538,145,0,0,0,0,0,0,1,0,1,4,0,0.9,0,1,0,0,1.475,23.33,-0.6668,6.694,1.364,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,380,2023
"147","Bulgaria",0.002282,147,0.002193,145,0.002555,144,0,0,0,0,0,0,1,0,1,4,0,0.775,0,1,0,0,1.343,22.62,2.396,6.89,2.173,0.289,0.002,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.19,1,355,2023
"148","Albania",0.002242,148,0.002141,148,0.002487,146,0,0,0,1,0,0,1,0,2,4,0,0.86,0,1,0,0,-0.367,21.39,4.634,6.402,2.853,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.794,1,339,2023
"149","Denmark",0.002081,149,0.002063,150,0.002304,149,0,0,0,0,0,0,1,0,1,4,0,0.981,0,1,0,0,1.574,22.5,1.137,7.005,1.7,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,7.7,1,390,2023
"150","Kosovo",0.002048,150,0.002018,153,0.002321,148,0,0,0,0,0,0,1,0,1,4,0,0.865,0,1,0,0,-0.45,20.74,4.027,6.784,2.842,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,4,1,347,2023
"151","Armenia",0.002037,151,0.00205,151,0.00228,150,0,0,0,1,0,0,1,0,1,3,0,0.875,0,1,0,0,0.961,21.41,8.798,6.871,2.943,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,5.044,1,371,2023
"152","Ireland",0.002027,152,0.002049,152,0.002229,151,0,0,0,0,0,0,1,0,1,4,0,0.977,0,1,0,0,1.416,22.33,-5.686,7.875,1.692,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,6.687,1,205,2023
