"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","popsize.log2","gdppcgrowth","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.log2","coup.try.5yr","mk_ongoing_count_log2","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage.new.log2","includesnonstate","ccode"
"77","Sri Lanka",0.008297,77,0.004885,78,0.009505,76,0,0,0,0,0,0,1,0,0,3,0,0.736,0,1,0,1,0.564,24.39,-1.66,2.258,0.323,0.11,0,0,1,0,0,1,0,0,0,4,0,0,1,4093000,2023,6.248,1,780
"78","Namibia",0.007956,78,0.004704,81,0.008872,80,0,0,0,0,0,0,1,0,1,4,0,0.847,0,0,0,1,0.516,21.31,2.674,5.215,0.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.087,1,565
"79","United States of America",0.007951,79,0.004563,82,0.009295,78,0,0,0,0,0,0,1,0,1,4,0,0.927,0,0,0,0,0.75,28.32,2.04,2.298,0.527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,7.7,1,2
"80","Mexico",0.007927,80,0.004716,80,0.009189,79,0,0,0,1,0,0,1,0,1,4,0,0.805,0,0,0,1,0.582,26.94,2.464,3.217,0.587,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.665,1,70
"81","Venezuela",0.007801,81,0.004471,83,0.009318,77,0,0,0,1,0,1,0,1,1,3,0,0.282,0,0,0,1,0.985,24.78,6.577,3.964,0.52,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.607,1,101
"82","Bhutan",0.007434,82,0.004445,84,0.008603,81,0,0,0,0,0,0,1,0,1,2,0,0.734,0,0,0,0,1.344,19.59,4.546,4.398,0.651,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,4093000,2023,6.229,1,760
"83","Argentina",0.007369,83,0.004921,77,0.008585,82,0,0,0,0,0,0,1,0,1,4,0,0.936,0,0,0,0,1.637,25.48,-2.436,2.997,0.158,0,1,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,7.7,1,160
"84","Botswana",0.007043,84,0.004226,86,0.00365,126,0,0,0,0,0,0,1,0,1,4,0,0.842,0,0,0,0,0.357,21.35,1.001,5.328,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,5.858,1,571
"85","United Arab Emirates",0.006999,85,0.0042,87,0.008026,84,0,0,0,1,1,0,0,1,1,3,0,0.366,0,0,0,1,-0.77,23.18,2.581,2.205,0.684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4093000,2023,5.728,1,696
"86","Fiji",0.006818,86,0.003819,88,0.007458,86,0,0,0,0,0,0,1,0,1,3,0,0.779,0,0,0,1,0.538,19.84,7.264,4.781,0.528,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4093000,2023,5.755,1,950
"87","Israel",0.006734,87,0.005566,73,0.005802,97,0,0,0,0,0,0,1,0,1,4,0,0.898,0,1,0,0,0.747,23.22,-0.08541,1.668,0.376,0.43,0,0,0,1,0,0,14.48,0,0,0,0,0,0,4093000,2023,6.248,1,666
"88","Kazakhstan",0.006728,88,0.003678,91,0.007745,85,0,0,0,1,0,1,0,1,2,2,0,0.52,0,1,0,1,0.245,24.25,3.699,2.85,0.538,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.044,1,705
"89","El Salvador",0.006634,89,0.004248,85,0.006761,89,0,0,0,1,0,0,1,0,0,4,0,0.411,0,0,0,1,0.042,22.6,3.047,3.084,0.165,0,1,0,0,0,0,1,0,0,0,2,0,0,1,4093000,2023,7.524,1,92
"90","Guatemala",0.005874,90,0.003753,90,0.007047,87,0,0,0,1,0,0,1,1,1,4,0,0.784,0,0,0,1,0.196,24.07,2.047,4.2,0.511,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,7.524,1,90
"91","Mauritius",0.005715,91,0.00347,94,0.00639,93,0,0,0,1,0,0,1,0,1,4,0,0.763,0,0,0,1,0.473,20.27,7.078,3.591,0.466,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4093000,2023,5.807,1,590
